Time_ns,Coherence,Sigma_x,Sigma_y,Sigma_z,Threshold
83.0831,0.000163,0.000163,0.0,0.564313,0.367879
83.2833,0.000159,0.000159,0.0,0.565184,0.367879
83.4835,0.000156,0.000156,0.0,0.566054,0.367879
83.6837,0.000153,0.000153,0.0,0.566922,0.367879
83.8839,0.00015,0.00015,0.0,0.567788,0.367879
84.0841,0.000146,0.000146,0.0,0.568652,0.367879
84.2843,0.000143,0.000143,0.0,0.569515,0.367879
84.4845,0.00014,0.00014,0.0,0.570376,0.367879
84.6847,0.000138,0.000138,0.0,0.571235,0.367879
84.8849,0.000135,0.000135,0.0,0.572093,0.367879
85.0851,0.000132,0.000132,0.0,0.572949,0.367879
85.2853,0.000129,0.000129,0.0,0.573803,0.367879
85.4855,0.000126,0.000126,0.0,0.574655,0.367879
85.6857,0.000124,0.000124,0.0,0.575506,0.367879
85.8859,0.000121,0.000121,0.0,0.576355,0.367879
86.0861,0.000119,0.000119,0.0,0.577202,0.367879
86.2863,0.000116,0.000116,0.0,0.578048,0.367879
86.4865,0.000114,0.000114,0.0,0.578892,0.367879
86.6867,0.000111,0.000111,0.0,0.579734,0.367879
86.8869,0.000109,0.000109,0.0,0.580574,0.367879
87.0871,0.000107,0.000107,0.0,0.581413,0.367879
87.2873,0.000105,0.000105,0.0,0.58225,0.367879
87.4875,0.000102,0.000102,0.0,0.583086,0.367879
87.6877,0.0001,0.0001,0.0,0.58392,0.367879
87.8879,9.8e-05,9.8e-05,0.0,0.584752,0.367879
88.0881,9.6e-05,9.6e-05,0.0,0.585582,0.367879
88.2883,9.4e-05,9.4e-05,0.0,0.586411,0.367879
88.4885,9.2e-05,9.2e-05,0.0,0.587238,0.367879
88.6887,9e-05,9e-05,0.0,0.588064,0.367879
88.8889,8.8e-05,8.8e-05,0.0,0.588888,0.367879
89.0891,8.7e-05,8.7e-05,0.0,0.58971,0.367879
89.2893,8.5e-05,8.5e-05,0.0,0.590531,0.367879
89.4895,8.3e-05,8.3e-05,0.0,0.591349,0.367879
89.6897,8.1e-05,8.1e-05,0.0,0.592167,0.367879
89.8899,8e-05,8e-05,0.0,0.592982,0.367879
90.0901,7.8e-05,7.8e-05,0.0,0.593796,0.367879
90.2903,7.6e-05,7.6e-05,0.0,0.594609,0.367879
90.4905,7.5e-05,7.5e-05,0.0,0.59542,0.367879
90.6907,7.3e-05,7.3e-05,0.0,0.596229,0.367879
90.8909,7.2e-05,7.2e-05,0.0,0.597036,0.367879
91.0911,7e-05,7e-05,0.0,0.597842,0.367879
91.2913,6.9e-05,6.9e-05,0.0,0.598647,0.367879
91.4915,6.7e-05,6.7e-05,0.0,0.599449,0.367879
91.6917,6.6e-05,6.6e-05,0.0,0.60025,0.367879
91.8919,6.5e-05,6.5e-05,0.0,0.60105,0.367879
92.0921,6.3e-05,6.3e-05,0.0,0.601848,0.367879
92.2923,6.2e-05,6.2e-05,0.0,0.602644,0.367879
92.4925,6.1e-05,6.1e-05,0.0,0.603439,0.367879
92.6927,5.9e-05,5.9e-05,0.0,0.604232,0.367879
92.8929,5.8e-05,5.8e-05,0.0,0.605023,0.367879
93.0931,5.7e-05,5.7e-05,0.0,0.605813,0.367879
93.2933,5.6e-05,5.6e-05,0.0,0.606602,0.367879
93.4935,5.5e-05,5.5e-05,0.0,0.607389,0.367879
93.6937,5.3e-05,5.3e-05,0.0,0.608174,0.367879
93.8939,5.2e-05,5.2e-05,0.0,0.608957,0.367879
94.0941,5.1e-05,5.1e-05,0.0,0.60974,0.367879
94.2943,5e-05,5e-05,0.0,0.61052,0.367879
94.4945,4.9e-05,4.9e-05,0.0,0.611299,0.367879
94.6947,4.8e-05,4.8e-05,0.0,0.612076,0.367879
94.8949,4.7e-05,4.7e-05,0.0,0.612852,0.367879
