Sim_ID,Mass_kg,E_grav_J,T_OR_s,T_OR_us,Quantum_OR
366,2.6803e-14,2.9967e-30,3.5191e-05,35.1906,True
367,3.5927e-12,5.3841e-26,1.9587e-09,0.002,True
368,2.2329e-12,2.0798e-26,5.0706e-09,0.0051,True
369,5.2994e-15,1.1715e-31,9.0020e-04,900.2007,False
370,1.8054e-15,1.3596e-32,7.7564e-03,7756.3906,False
371,2.3593e-15,2.3219e-32,4.5419e-03,4541.9338,False
372,1.1679e-15,5.6897e-33,1.8535e-02,18534.7375,False
373,2.2353e-15,2.0843e-32,5.0595e-03,5059.4936,False
374,3.3606e-13,4.7112e-28,2.2384e-07,0.2238,True
375,1.8337e-15,1.4026e-32,7.5187e-03,7518.6707,False
376,1.5131e-14,9.5510e-31,1.1041e-04,110.4149,False
377,1.3340e-12,7.4237e-27,1.4205e-08,0.0142,True
378,1.2192e-15,6.2008e-33,1.7007e-02,17006.9341,False
379,1.0297e-12,4.4226e-27,2.3845e-08,0.0238,True
380,1.1030e-14,5.0749e-31,2.0780e-04,207.8001,False
381,2.7358e-15,3.1222e-32,3.3776e-03,3377.6458,False
382,3.7775e-13,5.9526e-28,1.7716e-07,0.1772,True
383,2.1205e-13,1.8757e-28,5.6222e-07,0.5622,True
384,1.7609e-12,1.2935e-26,8.1528e-09,0.0082,True
385,5.2361e-13,1.1437e-27,9.2210e-08,0.0922,True
386,9.3767e-13,3.6677e-27,2.8753e-08,0.0288,True
387,1.1047e-14,5.0905e-31,2.0716e-04,207.1646,False
388,4.5326e-15,8.5698e-32,1.2306e-03,1230.5615,False
389,5.9773e-13,1.4904e-27,7.0760e-08,0.0708,True
390,9.6484e-13,3.8833e-27,2.7157e-08,0.0272,True
391,4.6116e-12,8.8712e-26,1.1888e-09,0.0012,True
392,3.3594e-14,4.7077e-30,2.2401e-05,22.4011,True
393,2.3773e-14,2.3575e-30,4.4732e-05,44.7325,True
394,7.4461e-13,2.3128e-27,4.5597e-08,0.0456,True
395,1.8223e-14,1.3853e-30,7.6128e-05,76.1283,True
396,2.7723e-12,3.2061e-26,3.2893e-09,0.0033,True
397,1.4971e-12,9.3491e-27,1.1280e-08,0.0113,True
398,3.8622e-14,6.2224e-30,1.6948e-05,16.948,True
399,5.9903e-13,1.4969e-27,7.0452e-08,0.0705,True
400,6.1806e-13,1.5935e-27,6.6180e-08,0.0662,True
401,2.4069e-15,2.4165e-32,4.3640e-03,4364.0148,False
402,2.1803e-12,1.9830e-26,5.3181e-09,0.0053,True
403,7.3946e-14,2.2809e-29,4.6234e-06,4.6234,True
404,1.1404e-12,5.4246e-27,1.9441e-08,0.0194,True
405,1.5271e-14,9.7273e-31,1.0841e-04,108.4133,False
406,2.0536e-12,1.7592e-26,5.9946e-09,0.006,True
407,2.7520e-14,3.1592e-30,3.3381e-05,33.381,True
408,1.0967e-15,5.0172e-33,2.1019e-02,21019.1,False
409,2.2335e-12,2.0809e-26,5.0679e-09,0.0051,True
410,2.1760e-15,1.9752e-32,5.3390e-03,5338.9648,False
411,1.5175e-14,9.6061e-31,1.0978e-04,109.781,False
412,3.2678e-12,4.4544e-26,2.3675e-09,0.0024,True
413,3.2830e-12,4.4959e-26,2.3456e-09,0.0023,True
414,1.3217e-13,7.2869e-29,1.4472e-06,1.4472,True
415,2.1734e-13,1.9705e-28,5.3518e-07,0.5352,True
416,4.5581e-14,8.6668e-30,1.2168e-05,12.1679,True
417,1.2150e-14,6.1580e-31,1.7125e-04,171.2516,False
